Title,Mileage,Price,URL
2022 Honda CR-V EX,"20,345 miles","$26,999",https://www.hondaofstevenscreek.com/certified/Honda/2022-Honda-CR-V-acfe996fac18264a0c1da5e5a6769787.htm
2020 Honda CR-V EX 2WD,"79,961 miles","$20,999",https://www.hondaofstevenscreek.com/certified/Honda/2020-Honda-CR-V-0547e8dcac181c6454261b4319e4fa39.htm
2020 Honda CR-V EX 2WD,"74,058 miles","$20,598",https://www.hondaofstevenscreek.com/used/Honda/2020-Honda-CR-V-8ed5c765ac1808a139687c5fc792fb89.htm
2022 Honda CR-V EX-L,"13,460 miles","$28,999",https://www.hondaofstevenscreek.com/certified/Honda/2022-Honda-CR-V-d15d0d8dac183a71759c4ccdb0ba3442.htm
2021 Honda CR-V EX-L 2WD,"45,404 miles","$23,998",https://www.hondaofstevenscreek.com/used/Honda/2021-Honda-CR-V-d6098504ac181c6454261b43af147925.htm
2023 Honda CR-V LX,"39,753 miles","$25,999",https://www.hondaofstevenscreek.com/certified/Honda/2023-Honda-CR-V-04dcaa3cac1834795428cd10cbab8800.htm
"2022 Honda
CR-V EX SUV",Mileage not available,"$26,995",https://www.hondasancarlos.com/used/Honda/2022-Honda-CR-V-d94f6994ac1849390e88575a2fa54ba8.htm
"2024 Honda
CR-V EX-L SUV",Mileage not available,"$37,888",https://www.hondasancarlos.com/certified/Honda/2024-Honda-CR-V-b0f745d1ac18177fef5a1c1a7aef89e9.htm
"2024 Honda
CR-V Hybrid Sport-L SUV",Hybrid,"$31,888",https://www.hondasancarlos.com/used/Honda/2024-Honda-CR-V+Hybrid-6713a69dac182c9706aad5b0427ef381.htm
"2022 Honda
CR-V EX SUV",Mileage not available,Price not available,https://www.hondasancarlos.com/used/Honda/2022-Honda-CR-V-d41be749ac18268e558ca190ef129e3e.htm
